item_row,F1,F2,item_id,category,english_gloss,pos2,dominant_factor
item_53,0.8789582228440933,-0.039251395773236164,item_53,food_drink,NA,noun,F1
item_54,0.6579341048412659,0.019534969432380585,item_54,food_drink,NA,noun,F1
item_55,0.8019890209170922,0.09267548227594484,item_55,food_drink,NA,noun,F1
item_56,0.6799600951534465,0.09378249263306465,item_56,food_drink,NA,noun,F1
item_57,0.6968710089663156,-0.11047686395150126,item_57,food_drink,NA,noun,F1
item_58,0.7685794103268001,-0.21060233381860208,item_58,food_drink,NA,noun,F1
item_59,0.6728263467021717,-0.21848544207578383,item_59,food_drink,NA,noun,F1
item_60,0.6184956136546972,0.05006515380167855,item_60,food_drink,NA,noun,F1
item_61,0.7731034233525635,0.14478977125871384,item_61,food_drink,NA,noun,F1
item_62,0.8559056365041566,0.04768439058213813,item_62,food_drink,NA,noun,F1
item_63,0.6929284844057179,0.06431240590960591,item_63,food_drink,NA,noun,F1
item_64,0.7998979677047481,-0.08251380742719429,item_64,food_drink,NA,noun,F1
item_65,0.8223142965331907,0.07581134861556615,item_65,food_drink,NA,noun,F1
item_66,0.7244539102302233,0.049444217402569594,item_66,food_drink,NA,noun,F1
item_67,0.7091707300325906,0.23116296923343546,item_67,food_drink,NA,noun,F1
item_68,0.761479838339624,0.1524331182005605,item_68,food_drink,NA,noun,F1
item_69,0.8419148511821414,-0.0489792746686574,item_69,food_drink,NA,noun,F1
item_70,0.8105944663980461,-0.029181794571543216,item_70,food_drink,NA,noun,F1
item_71,0.7770442305596605,-0.0022780158078121874,item_71,food_drink,siu mai / dumpling,noun,F1
item_72,0.7655150963743815,0.05107530174786026,item_72,food_drink,NA,noun,F1
item_73,0.7504668261889526,0.09129987789016669,item_73,food_drink,NA,noun,F1
item_74,0.7915606986347733,0.10014406229126811,item_74,food_drink,NA,noun,F1
item_75,0.8400355193422718,-0.023934450209620265,item_75,food_drink,NA,noun,F1
item_76,0.7927989828500512,0.13821807024872512,item_76,food_drink,NA,noun,F1
item_77,0.8445737457530685,-0.1350953051067674,item_77,food_drink,NA,noun,F1
item_78,0.7931461866723906,-0.13337454231197537,item_78,food_drink,NA,noun,F1
item_79,0.7340029829561009,0.06794485294211769,item_79,food_drink,NA,noun,F1
item_80,0.5865047376076945,0.24775893927307355,item_80,food_drink,NA,noun,F1
item_81,0.6331919401626759,0.29450290389370987,item_81,food_drink,NA,noun,F1
item_82,0.6780009395528241,0.33371510376113384,item_82,food_drink,NA,noun,F1
item_83,0.8378493891645202,0.08092669647950648,item_83,food_drink,NA,noun,F1
item_84,0.742075766684425,0.05389445354671899,item_84,food_drink,shrimp,noun,F1
item_85,0.6980321188769297,0.17951048755068033,item_85,food_drink,crab,noun,F1
item_86,0.7397997245467121,-0.03428819497163346,item_86,food_drink,fish balls,noun,F1
item_87,0.7906826884809799,0.010968949069725033,item_87,food_drink,chicken wing / chicken (food),noun,F1
item_88,0.7168507621462142,0.22567000978133278,item_88,food_drink,chicken thigh / chicken (food),noun,F1
item_89,0.8029733634461108,-0.1630862336547187,item_89,food_drink,NA,noun,F1
