"","V1","V2","V3","V4","V5","V6","V7"
"age",12,13,14,15,16,17,18
"5",-2.66,-2.5,-2.34,-2.18,-2.03,-1.88,-1.73
"10",-2.52,-2.34,-2.17,-2.01,-1.84,-1.68,-1.53
"15",-2.42,-2.24,-2.06,-1.89,-1.72,-1.55,-1.39
"20",-2.34,-2.15,-1.97,-1.79,-1.62,-1.45,-1.28
"25",-2.27,-2.08,-1.9,-1.71,-1.53,-1.36,-1.18
"30",-2.21,-2.02,-1.83,-1.64,-1.46,-1.28,-1.1
"35",-2.15,-1.96,-1.76,-1.57,-1.39,-1.2,-1.02
"40",-2.1,-1.9,-1.7,-1.51,-1.32,-1.13,-0.95
"45",-2.04,-1.84,-1.65,-1.45,-1.26,-1.07,-0.88
"50",-1.99,-1.79,-1.59,-1.39,-1.19,-1,-0.81
"55",-1.94,-1.74,-1.53,-1.33,-1.13,-0.93,-0.74
"60",-1.89,-1.68,-1.47,-1.27,-1.06,-0.86,-0.66
"65",-1.83,-1.62,-1.41,-1.2,-1,-0.79,-0.59
"70",-1.78,-1.56,-1.35,-1.14,-0.93,-0.72,-0.51
"75",-1.72,-1.5,-1.28,-1.06,-0.85,-0.64,-0.43
"80",-1.65,-1.43,-1.2,-0.98,-0.77,-0.55,-0.33
"85",-1.57,-1.34,-1.12,-0.89,-0.67,-0.44,-0.22
"90",-1.47,-1.24,-1,-0.77,-0.54,-0.31,-0.09
"95",-1.32,-1.08,-0.84,-0.6,-0.36,-0.12,0.12
"99",-1.04,-0.78,-0.53,-0.27,-0.01,0.24,0.5
